,Produit,Sous_Produit,Origine,PU_moy,PU_min,PU_max,PU_med
32877,2103909900,Autres préparations pour sauces et autres sau,Afrique du Sud,4764.93,1634.2572463768115,7895.6,4764.928623188406
32878,2103909900,Autres préparations pour sauces et autres sau,Royaume-Uni,6171.02,6171.018382352941,6171.018382352941,6171.018382352941
32883,9401911000,Parties de sièges (à l'exclusion de ceux du,Chine,5735.45,424.11764705882354,14116.84085106383,2665.4
32889,8423900000,Poids pour toutes balances; parties d'appareils,Espagne,32311.09,7422.684210526316,57199.5,32311.092105263157
32902,8467890000,Outils hydrauliques et autres outils à moteur,Royaume-Uni,8332253.44,5766.300353356891,33260660.5,31293.48810749885
32904,5208521000,"Tissus de coton imprimés, au moins 85% de cot",Cote d'Ivoire,8397.62,60.60606060606061,46428.57142857143,9939.365723886867
32905,2508400000,Autres argiles (à l'exclusion des argiles expan,Cote d'Ivoire,426.91,109.33333333333333,1041.84375,129.5515
32906,2520100000,Gypse; anhydrite,Cote d'Ivoire,4500.00,4500.0,4500.0,4500.0
32908,2523100000,Ciments non pulvérisés dits «clinkers»,Cote d'Ivoire,4755.56,4755.555555555556,4755.555555555556,4755.555555555556
32909,2516900000,"Autres pierres de taille ou de construction, du",Cote d'Ivoire,4500.00,4500.0,4500.0,4500.0
32910,8515800000,Autres machines et appareils du n° 85.15,PLUSIEURS,74842.37,19993.11724137931,244500.0,36865.79069767442
32911,3301120000,Huiles essentielles d'orange,Cote d'Ivoire,2035.86,2035.8620689655172,2035.8620689655172,2035.8620689655172
32912,9027890000,"Autres instruments et appareils, du N°90.27, N",Royaume-Uni,99422.82,205.0,198640.63636363635,99422.81818181818
32913,8518300000,"Casque d'écoute et écouteur, même combiné av",France,275121.97,243.94,550000.0,275121.97
32914,7311000000,"Récipients pour gaz comprimés ou liquéfiés, en",Royaume-Uni,18057.05,1156.4373427852734,56628.434782608696,10603.79652219866
32915,9027900000,Microtomes; parties et accessoires des instrumen,Royaume-Uni,31309.95,21505.833333333332,41114.06493506493,31309.94913419913
32916,2517100000,"Cailloux, graviers, pierres concassées, ... pou",Cote d'Ivoire,66.30,14.385087719298246,106.22222222222223,76.04820077349925
32918,8483400000,"Engrenages et roues de friction, autres que les",Cote d'Ivoire,180163.98,327.96875,360000.0,180163.984375
32919,2523290000,Ciments Portland autres que ciments blancs,Cote d'Ivoire,104.62,48.5,3143.085,55.0
32926,802990000,"Fruits à coques, frais ou secs, même sans leu",Cote d'Ivoire,4423.28,200.0,15000.0,334.61538461538464
32929,2009899900,Jus de tout autre fruit ou légume du n°20.0,Cote d'Ivoire,727.35,22.3463687150838,3390.0,579.7724399494311
32930,7101100000,"Perles fines, même travaillées ou assorties ma",PLUSIEURS,3000.00,2500.0,3500.0,3000.0
32931,1905200000,Pain d'épices,Cote d'Ivoire,4863.10,4166.666666666667,6000.0,4642.857142857143
32935,6204490000,Robes d'autres matières textiles (autres que l,PLUSIEURS,5779.83,5000.0,6559.666666666667,5779.833333333334
32938,6203290000,Ensembles d'autres matières textiles  (autres,PLUSIEURS,3514.81,1700.0,5329.625,3514.8125
32940,9018900000,Autres instruments et appareils du N° 90.18,Portugal,58474.33,58474.333333333336,58474.333333333336,58474.333333333336
32943,6506990000,"Autres chapeaux et coiffures, à l'exclusion de",PLUSIEURS,9818.67,2018.0,33054.16535433071,4242.424242424242
32946,6203390000,Vestons d'autres matières textiles (autres que,PLUSIEURS,28586.75,28586.75,28586.75,28586.75
32947,9606290000,Autres boutons (à l'exclusion de ceux en mati,PLUSIEURS,2321.00,2018.0,2624.0,2321.0
32953,714900000,"rootou de salep, topinambours,",Cote d'Ivoire,1465.15,333.3333333333333,3125.0,1081.081081081081
32955,6204290000,Ensembles d'autres matières textiles (autres q,PLUSIEURS,2191.37,1143.75,4263.7,1166.6666666666667
32963,2008990000,Autres fruits et autres parties comestibles de,Cote d'Ivoire,1689.75,55.294117647058826,9679.81081081081,505.3191489361702
